entity,soc
hibernate-core/src/main/java/org/hibernate/procedure/internal/Util.java,40
hibernate-core/src/main/java/org/hibernate/internal/StatelessSessionImpl.java,40
hibernate-core/src/main/java/org/hibernate/id/IncrementGenerator.java,40
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/JdbcServices.java,40
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/JdbcConnectionAccess.java,40
hibernate-core/src/main/java/org/hibernate/cfg/annotations/TableBinder.java,40
buildSrc/build.gradle,40
hibernate-entitymanager/src/main/java/org/hibernate/jpa/SchemaGenSource.java,39
hibernate-core/src/test/java/org/hibernate/connection/DriverManagerRegistrationTest.java,39
hibernate-core/src/main/java/org/hibernate/mapping/Subclass.java,39
hibernate-core/src/main/java/org/hibernate/loader/AbstractEntityJoinWalker.java,39
hibernate-core/src/main/java/org/hibernate/internal/util/LockModeConverter.java,39
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/SqlExceptionHelper.java,39
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcCoordinatorImpl.java,39
hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,39
hibernate-core/src/main/java/org/hibernate/dialect/Oracle10gDialect.java,39
hibernate-core/src/main/java/org/hibernate/bytecode/internal/javassist/TransformingClassLoader.java,39
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/ClusterAwareRegionFactory.java,38
hibernate-envers/src/main/java/org/hibernate/envers/entities/EntityInstantiator.java,38
hibernate-envers/src/main/java/org/hibernate/envers/configuration/metadata/MetadataTools.java,38
hibernate-core/src/main/java/org/hibernate/tuple/component/ComponentMetamodel.java,38
hibernate-core/src/main/java/org/hibernate/tuple/component/AbstractCompositeBasedAttribute.java,38
hibernate-core/src/main/java/org/hibernate/jmx/StatisticsService.java,38
hibernate-core/src/main/java/org/hibernate/internal/util/SerializationHelper.java,38
hibernate-core/src/main/java/org/hibernate/internal/util/ConfigHelper.java,38
hibernate-core/src/main/java/org/hibernate/internal/util/ClassLoaderHelper.java,38
